Timestamp,VALCCG:D10_L02:PRES,BM_DCCT:LCUR
2024/10/21 08:57:52.461,3.463568120291054e-7,N/A
2024/10/21 08:57:53.136,N/A,1500.5236999999997
2024/10/21 08:57:53.461,3.4564512253721213e-7,N/A
2024/10/21 08:57:54.136,N/A,1501.2438
2024/10/21 08:57:54.461,3.443352129334719e-7,N/A
2024/10/21 08:57:55.136,N/A,1498.7975
2024/10/21 08:57:55.461,3.436893326031673e-7,N/A
2024/10/21 08:57:56.136,N/A,1495.7934999999998
2024/10/21 08:57:56.461,3.4359685394204225e-7,N/A
2024/10/21 08:57:57.136,N/A,1493.3036999999997
2024/10/21 08:57:57.461,3.4709363654752885e-7,N/A
2024/10/21 08:57:58.136,N/A,1492.4381
2024/10/21 08:57:58.461,3.461143356229205e-7,N/A
2024/10/21 08:57:59.136,N/A,1495.5662
2024/10/21 08:57:59.461,3.4418513931470536e-7,N/A
2024/10/21 08:58:00.136,N/A,1499.9933999999998
2024/10/21 08:58:00.461,3.4191352746002005e-7,N/A
2024/10/21 08:58:01.136,N/A,1503.2033999999999
2024/10/21 08:58:01.462,3.433964787955177e-7,N/A
2024/10/21 08:58:02.136,N/A,1503.6195
2024/10/21 08:58:02.461,3.42643056468311e-7,N/A
2024/10/21 08:58:03.136,N/A,1501.562
2024/10/21 08:58:03.461,3.4313609378780295e-7,N/A
2024/10/21 08:58:04.136,N/A,1498.8894
2024/10/21 08:58:04.461,3.4402412224639495e-7,N/A
2024/10/21 08:58:05.136,N/A,1496.4076
2024/10/21 08:58:05.461,3.460700361895709e-7,N/A
2024/10/21 08:58:06.136,N/A,1493.8108
2024/10/21 08:58:06.462,3.4407953105268046e-7,N/A
2024/10/21 08:58:07.136,N/A,1493.0794999999998
2024/10/21 08:58:07.461,3.442550210557258e-7,N/A
2024/10/21 08:58:08.136,N/A,1496.7368999999999
2024/10/21 08:58:08.461,3.4565799653472086e-7,N/A
2024/10/21 08:58:09.136,N/A,1500.2943999999998
2024/10/21 08:58:09.461,3.405689826454807e-7,N/A
2024/10/21 08:58:10.136,N/A,1499.3237
2024/10/21 08:58:10.461,3.4575502024677445e-7,N/A
2024/10/21 08:58:11.136,N/A,1496.5974999999999
2024/10/21 08:58:11.461,3.4214588144661556e-7,N/A
2024/10/21 08:58:12.136,N/A,1494.2431
