Timestamp,BM_DCCT:LCUR,VALCCG:D10_L02:PRES
2024/10/28 02:53:38.461,N/A,1.9485534901074657e-7
2024/10/28 02:53:39.136,1184.5178999999998,N/A
2024/10/28 02:53:39.461,N/A,1.9524151961435633e-7
2024/10/28 02:53:40.136,1186.4076999999997,N/A
2024/10/28 02:53:40.461,N/A,1.952314073651568e-7
2024/10/28 02:53:41.136,1186.838,N/A
2024/10/28 02:53:41.461,N/A,1.9539709558770427e-7
2024/10/28 02:53:42.136,1188.7228,N/A
2024/10/28 02:53:42.461,N/A,1.955250578162081e-7
2024/10/28 02:53:43.136,1189.2218,N/A
2024/10/28 02:53:43.461,N/A,1.9555653677277417e-7
2024/10/28 02:53:44.136,1191.2237,N/A
2024/10/28 02:53:44.461,N/A,1.9617775236888507e-7
2024/10/28 02:53:45.136,1191.3934,N/A
2024/10/28 02:53:45.461,N/A,1.9653224272405743e-7
2024/10/28 02:53:46.136,1193.2176,N/A
2024/10/28 02:53:46.461,N/A,1.9699507670966335e-7
2024/10/28 02:53:47.136,1193.5357999999999,N/A
2024/10/28 02:53:47.461,N/A,1.9803274934940726e-7
2024/10/28 02:53:48.136,1195.4599999999998,N/A
2024/10/28 02:53:48.461,N/A,1.986608113239104e-7
2024/10/28 02:53:49.136,1195.7539,N/A
2024/10/28 02:53:49.461,N/A,1.988357189959088e-7
2024/10/28 02:53:50.136,1197.5781,N/A
2024/10/28 02:53:50.461,N/A,1.994252857033205e-7
2024/10/28 02:53:51.136,1198.0528,N/A
2024/10/28 02:53:51.461,N/A,1.9936127349591282e-7
2024/10/28 02:53:52.136,1199.9588,N/A
2024/10/28 02:53:52.461,N/A,1.9896714006464006e-7
2024/10/28 02:53:53.137,1199.8032999999998,N/A
2024/10/28 02:53:53.461,N/A,1.9849226299204835e-7
2024/10/28 02:53:54.136,1201.2133,N/A
2024/10/28 02:53:54.461,N/A,1.981484756483033e-7
2024/10/28 02:53:55.136,1200.2658999999999,N/A
2024/10/28 02:53:55.461,N/A,1.9852301540230908e-7
2024/10/28 02:53:56.136,1197.3134,N/A
2024/10/28 02:53:56.462,N/A,1.9891608343157717e-7
2024/10/28 02:53:57.136,1193.9206,N/A
2024/10/28 02:53:57.461,N/A,1.994764730354849e-7
2024/10/28 02:53:58.136,1192.4266999999998,N/A
2024/10/28 02:53:58.461,N/A,1.992664094865681e-7
2024/10/28 02:53:59.136,1192.655,N/A
2024/10/28 02:53:59.461,N/A,1.9931634696931422e-7
2024/10/28 02:54:00.136,1193.9710999999998,N/A
2024/10/28 02:54:00.461,N/A,1.993151379066604e-7
2024/10/28 02:54:01.136,1194.3872999999999,N/A
2024/10/28 02:54:01.461,N/A,1.992817520741486e-7
2024/10/28 02:54:02.136,1196.4216,N/A
2024/10/28 02:54:02.461,N/A,1.9918590351505597e-7
2024/10/28 02:54:03.136,1196.9882,N/A
2024/10/28 02:54:03.461,N/A,1.9932648478319846e-7
2024/10/28 02:54:04.136,1198.5406999999998,N/A
2024/10/28 02:54:04.461,N/A,1.9937280906172762e-7
2024/10/28 02:54:05.136,1198.4870999999998,N/A
2024/10/28 02:54:05.461,N/A,1.9955858633255173e-7
2024/10/28 02:54:06.136,1199.9396,N/A
2024/10/28 02:54:06.461,N/A,2.0024034870911742e-7
2024/10/28 02:54:07.136,1200.6224,N/A
2024/10/28 02:54:07.461,N/A,2.0066939983698197e-7
2024/10/28 02:54:08.136,1199.9284999999998,N/A
2024/10/28 02:54:08.461,N/A,2.009814516391131e-7
2024/10/28 02:54:09.136,1197.0438,N/A
2024/10/28 02:54:09.461,N/A,2.0098492160579227e-7
2024/10/28 02:54:10.136,1194.8984,N/A
2024/10/28 02:54:10.461,N/A,2.0076849167377942e-7
2024/10/28 02:54:11.136,1191.9298,N/A
2024/10/28 02:54:11.461,N/A,2.0082405320289807e-7
2024/10/28 02:54:12.136,1193.6923,N/A
2024/10/28 02:54:12.461,N/A,2.0134321294112783e-7
2024/10/28 02:54:13.136,1194.2459,N/A
2024/10/28 02:54:13.461,N/A,2.0108454456962843e-7
2024/10/28 02:54:14.136,1195.7740999999999,N/A
2024/10/28 02:54:14.461,N/A,2.009145023917994e-7
2024/10/28 02:54:15.136,1195.7326999999998,N/A
2024/10/28 02:54:15.461,N/A,2.0088609789722317e-7
2024/10/28 02:54:16.136,1197.9185,N/A
2024/10/28 02:54:16.461,N/A,2.01207593567315e-7
2024/10/28 02:54:17.136,1198.2033,N/A
2024/10/28 02:54:17.461,N/A,2.0155941595930365e-7
2024/10/28 02:54:18.136,1199.8112999999998,N/A
2024/10/28 02:54:18.461,N/A,2.0142590669149279e-7
2024/10/28 02:54:19.136,1200.2143999999998,N/A
2024/10/28 02:54:19.461,N/A,2.0180127398277906e-7
2024/10/28 02:54:20.136,1199.2214999999999,N/A
2024/10/28 02:54:20.461,N/A,2.024910761154246e-7
2024/10/28 02:54:21.136,1196.3184999999999,N/A
2024/10/28 02:54:21.462,N/A,2.02554959061275e-7
2024/10/28 02:54:22.136,1193.9105,N/A
2024/10/28 02:54:22.461,N/A,2.029963578626661e-7
2024/10/28 02:54:23.136,1194.6518999999998,N/A
2024/10/28 02:54:23.461,N/A,2.030628637883913e-7
2024/10/28 02:54:24.136,1196.1539,N/A
2024/10/28 02:54:24.461,N/A,2.0293763854939827e-7
2024/10/28 02:54:25.136,1196.4780999999998,N/A
2024/10/28 02:54:25.461,N/A,2.0311763858392923e-7
2024/10/28 02:54:26.136,1198.2336,N/A
2024/10/28 02:54:26.462,N/A,2.0307432926176445e-7
2024/10/28 02:54:27.136,1198.6942,N/A
2024/10/28 02:54:27.461,N/A,2.0321689629708858e-7
2024/10/28 02:54:28.136,1200.6102999999998,N/A
2024/10/28 02:54:28.461,N/A,2.0310588634499946e-7
2024/10/28 02:54:29.136,1199.4507,N/A
2024/10/28 02:54:29.461,N/A,2.0342571372664752e-7
2024/10/28 02:54:30.136,1196.9063999999998,N/A
2024/10/28 02:54:30.461,N/A,2.035474409264748e-7
2024/10/28 02:54:31.136,1194.6528999999998,N/A
2024/10/28 02:54:31.462,N/A,2.0301842935145053e-7
2024/10/28 02:54:32.136,1196.3790999999999,N/A
2024/10/28 02:54:32.461,N/A,2.034480217646132e-7
2024/10/28 02:54:33.136,1196.8356999999999,N/A
2024/10/28 02:54:33.461,N/A,2.0374737574862994e-7
2024/10/28 02:54:34.136,1198.1478,N/A
2024/10/28 02:54:34.471,N/A,2.0370782933938813e-7
2024/10/28 02:54:35.136,1198.7426999999998,N/A
2024/10/28 02:54:35.461,N/A,2.0395826100946964e-7
2024/10/28 02:54:36.136,1200.8304999999998,N/A
2024/10/28 02:54:36.461,N/A,2.0456034386321408e-7
2024/10/28 02:54:37.136,1199.6032999999998,N/A
2024/10/28 02:54:37.461,N/A,2.0453285551751066e-7
2024/10/28 02:54:38.136,1197.4609,N/A
2024/10/28 02:54:38.461,N/A,2.0468246348306532e-7
2024/10/28 02:54:39.136,1194.6346999999998,N/A
2024/10/28 02:54:39.461,N/A,2.0532117182632805e-7
2024/10/28 02:54:40.136,1192.2600999999997,N/A
2024/10/28 02:54:40.461,N/A,2.04456613784915e-7
2024/10/28 02:54:41.136,1193.0721999999998,N/A
2024/10/28 02:54:42.136,1194.5034,N/A
2024/10/28 02:54:42.461,N/A,2.0430593156179827e-7
2024/10/28 02:54:43.136,1194.8266999999998,N/A
2024/10/28 02:54:43.461,N/A,2.0406411874973859e-7
2024/10/28 02:54:44.136,1196.2155,N/A
2024/10/28 02:54:44.461,N/A,2.0450145842037756e-7
2024/10/28 02:54:45.136,1196.4428,N/A
2024/10/28 02:54:45.461,N/A,2.0431880196864553e-7
2024/10/28 02:54:46.136,1198.2023,N/A
2024/10/28 02:54:46.461,N/A,2.046445499052999e-7
2024/10/28 02:54:47.136,1198.1417,N/A
2024/10/28 02:54:47.461,N/A,2.0473519126450445e-7
2024/10/28 02:54:48.136,1199.9102999999998,N/A
2024/10/28 02:54:48.461,N/A,2.048525401992069e-7
2024/10/28 02:54:49.136,1199.8881,N/A
2024/10/28 02:54:49.461,N/A,2.0532816586201152e-7
2024/10/28 02:54:50.136,1201.2142999999999,N/A
2024/10/28 02:54:50.471,N/A,2.0572261218114842e-7
2024/10/28 02:54:51.136,1200.3355999999999,N/A
2024/10/28 02:54:51.461,N/A,2.0569611943370752e-7
2024/10/28 02:54:52.136,1197.4932,N/A
2024/10/28 02:54:52.461,N/A,2.0614609476151748e-7
2024/10/28 02:54:53.136,1194.0812,N/A
2024/10/28 02:54:53.461,N/A,2.0622941386863885e-7
2024/10/28 02:54:54.136,1192.1914,N/A
2024/10/28 02:54:54.461,N/A,2.0620939881679014e-7
2024/10/28 02:54:55.136,1192.551,N/A
2024/10/28 02:54:55.461,N/A,2.0544537534874962e-7
2024/10/28 02:54:56.136,1194.4024,N/A
2024/10/28 02:54:56.462,N/A,2.054570712155758e-7
2024/10/28 02:54:57.136,1194.6437999999998,N/A
2024/10/28 02:54:57.461,N/A,2.0518038371536226e-7
2024/10/28 02:54:58.136,1195.8064,N/A
2024/10/28 02:54:58.461,N/A,2.0464435892268839e-7
2024/10/28 02:54:59.136,1196.3366999999998,N/A
2024/10/28 02:54:59.461,N/A,2.0516008754636618e-7
2024/10/28 02:55:00.136,1198.1689999999999,N/A
2024/10/28 02:55:00.461,N/A,2.0534895775838348e-7
2024/10/28 02:55:01.136,1198.5063,N/A
2024/10/28 02:55:01.461,N/A,2.0593813642460956e-7
2024/10/28 02:55:02.136,1200.3154,N/A
2024/10/28 02:55:02.461,N/A,2.0560514858727574e-7
2024/10/28 02:55:03.136,1200.2143999999998,N/A
2024/10/28 02:55:03.461,N/A,2.0592343441984638e-7
2024/10/28 02:55:04.136,1196.8700000000001,N/A
2024/10/28 02:55:04.461,N/A,2.0606117471940528e-7
2024/10/28 02:55:05.136,1194.557,N/A
2024/10/28 02:55:05.462,N/A,2.0540300737381735e-7
2024/10/28 02:55:06.136,1196.3135,N/A
2024/10/28 02:55:06.462,N/A,2.0491525578984994e-7
2024/10/28 02:55:07.136,1196.2286,N/A
2024/10/28 02:55:07.461,N/A,2.0535556944769847e-7
2024/10/28 02:55:08.136,1197.7639,N/A
2024/10/28 02:55:08.461,N/A,2.05494080557464e-7
2024/10/28 02:55:09.136,1197.8397,N/A
2024/10/28 02:55:09.461,N/A,2.0612214434437767e-7
2024/10/28 02:55:10.136,1199.2457,N/A
2024/10/28 02:55:10.461,N/A,2.0597109963528173e-7
2024/10/28 02:55:11.136,1199.4548,N/A
2024/10/28 02:55:11.461,N/A,2.061789950513833e-7
2024/10/28 02:55:12.136,1200.9325,N/A
2024/10/28 02:55:12.461,N/A,2.0656717185159412e-7
2024/10/28 02:55:13.136,1199.9053,N/A
2024/10/28 02:55:13.466,N/A,2.0604252200258893e-7
2024/10/28 02:55:14.136,1197.4569,N/A
2024/10/28 02:55:14.461,N/A,2.0691948270123494e-7
2024/10/28 02:55:15.136,1194.6196,N/A
2024/10/28 02:55:15.461,N/A,2.0687796912737128e-7
2024/10/28 02:55:16.136,1192.4348,N/A
2024/10/28 02:55:16.461,N/A,2.075102625752734e-7
2024/10/28 02:55:17.136,1192.8953999999999,N/A
2024/10/28 02:55:17.461,N/A,2.0730789281779252e-7
2024/10/28 02:55:18.136,1194.4973999999997,N/A
2024/10/28 02:55:18.461,N/A,2.0764499481014806e-7
2024/10/28 02:55:19.136,1194.8872999999999,N/A
2024/10/28 02:55:19.461,N/A,2.074049398494175e-7
2024/10/28 02:55:20.136,1196.6801,N/A
2024/10/28 02:55:20.461,N/A,2.0737697248711017e-7
2024/10/28 02:55:21.136,1196.9902,N/A
2024/10/28 02:55:21.462,N/A,2.064546207742977e-7
2024/10/28 02:55:22.136,1198.6699999999998,N/A
2024/10/28 02:55:22.461,N/A,2.072863222310992e-7
2024/10/28 02:55:23.136,1199.0609,N/A
2024/10/28 02:55:23.461,N/A,2.0702320648376076e-7
2024/10/28 02:55:24.136,1200.7749,N/A
2024/10/28 02:55:24.461,N/A,2.0690847596556517e-7
2024/10/28 02:55:25.136,1199.7103,N/A
2024/10/28 02:55:25.461,N/A,2.0738742351679082e-7
2024/10/28 02:55:26.136,1197.3872,N/A
2024/10/28 02:55:26.461,N/A,2.0793994779644495e-7
2024/10/28 02:55:27.136,1194.557,N/A
2024/10/28 02:55:27.461,N/A,2.0764218497798626e-7
2024/10/28 02:55:28.136,1192.5458999999998,N/A
2024/10/28 02:55:28.461,N/A,2.0696583327462354e-7
2024/10/28 02:55:29.136,1193.0944,N/A
2024/10/28 02:55:29.461,N/A,2.0689399431063912e-7
2024/10/28 02:55:30.136,1194.5085,N/A
2024/10/28 02:55:30.461,N/A,2.066947331880459e-7
2024/10/28 02:55:31.136,830.9248,N/A
2024/10/28 02:55:31.461,N/A,2.1206575323768342e-7
2024/10/28 02:55:32.136,-0.023500000000000076,N/A
2024/10/28 02:55:32.461,N/A,4.656992137445195e-7
2024/10/28 02:55:33.136,-0.014399999999999968,N/A
2024/10/28 02:55:33.461,N/A,0.0000011701145534267307
2024/10/28 02:55:34.136,-0.010399999999999965,N/A
2024/10/28 02:55:34.461,N/A,0.0000013598430145041261
2024/10/28 02:55:35.136,-0.006299999999999972,N/A
2024/10/28 02:55:35.461,N/A,0.000001006330459826462
2024/10/28 02:55:36.136,-0.0022999999999999687,N/A
2024/10/28 02:55:36.462,N/A,6.202143023769732e-7
2024/10/28 02:55:37.136,-0.0032999999999999696,N/A
2024/10/28 02:55:37.461,N/A,3.707428881299617e-7
2024/10/28 02:55:38.136,-0.00029999999999996696,N/A
2024/10/28 02:55:38.461,N/A,2.4020280830631127e-7
2024/10/28 02:55:39.136,0.0048000000000000265,N/A
2024/10/28 02:55:39.461,N/A,1.8015736205181023e-7
2024/10/28 02:55:40.136,0.0007000000000000339,N/A
2024/10/28 02:55:40.461,N/A,1.5275902451988376e-7
2024/10/28 02:55:41.137,0.0018000000000000238,N/A
2024/10/28 02:55:41.462,N/A,1.4297665311009195e-7
2024/10/28 02:55:42.136,-0.0013000000000000789,N/A
2024/10/28 02:55:42.461,N/A,1.4188993330975071e-7
2024/10/28 02:55:43.136,-0.0013000000000000789,N/A
2024/10/28 02:55:43.461,N/A,1.442885310084197e-7
2024/10/28 02:55:44.136,0.0038000000000000256,N/A
2024/10/28 02:55:44.461,N/A,1.4622183212873312e-7
2024/10/28 02:55:45.136,0.0018000000000000238,N/A
2024/10/28 02:55:45.461,N/A,1.4572017986380197e-7
2024/10/28 02:55:46.136,-0.00029999999999996696,N/A
2024/10/28 02:55:46.461,N/A,1.4351968123217103e-7
2024/10/28 02:55:47.136,-0.0022999999999999687,N/A
2024/10/28 02:55:47.461,N/A,1.3921319319888956e-7
2024/10/28 02:55:48.136,0.0018000000000000238,N/A
2024/10/28 02:55:48.461,N/A,1.3411171490150905e-7
2024/10/28 02:55:49.136,0.0018000000000000238,N/A
2024/10/28 02:55:49.461,N/A,1.2870708265758333e-7
2024/10/28 02:55:50.136,-0.0032999999999999696,N/A
2024/10/28 02:55:50.461,N/A,1.2398753523865595e-7
2024/10/28 02:55:51.136,0.0038000000000000256,N/A
2024/10/28 02:55:51.461,N/A,1.2041487380412138e-7
2024/10/28 02:55:52.136,-0.0032999999999999696,N/A
2024/10/28 02:55:52.461,N/A,1.1775612347424166e-7
2024/10/28 02:55:53.136,0.0038000000000000256,N/A
2024/10/28 02:55:53.461,N/A,1.1604329845141152e-7
2024/10/28 02:55:54.136,-0.0013000000000000789,N/A
2024/10/28 02:55:54.461,N/A,1.1504431155015168e-7
2024/10/28 02:55:55.136,-0.00029999999999996696,N/A
2024/10/28 02:55:55.461,N/A,1.1430262594229492e-7
2024/10/28 02:55:56.136,-0.0013000000000000789,N/A
2024/10/28 02:55:56.462,N/A,1.1381473947369314e-7
2024/10/28 02:55:57.136,0.0028000000000000247,N/A
2024/10/28 02:55:57.461,N/A,1.1312156512743968e-7
2024/10/28 02:55:58.136,-0.0032999999999999696,N/A
2024/10/28 02:55:58.461,N/A,1.1236699995316869e-7
2024/10/28 02:55:59.136,-0.005299999999999971,N/A
2024/10/28 02:55:59.461,N/A,1.113103931517172e-7
2024/10/28 02:56:00.136,-0.0022999999999999687,N/A
2024/10/28 02:56:00.461,N/A,1.1048760767650933e-7
2024/10/28 02:56:01.136,-0.0032999999999999696,N/A
2024/10/28 02:56:01.462,N/A,1.0900988482905721e-7
2024/10/28 02:56:02.136,0.005800000000000027,N/A
2024/10/28 02:56:02.461,N/A,1.0788421737303837e-7
2024/10/28 02:56:03.136,-0.006299999999999972,N/A
2024/10/28 02:56:03.461,N/A,1.061828097276467e-7
2024/10/28 02:56:04.136,0.0038000000000000256,N/A
2024/10/28 02:56:04.461,N/A,1.046142072093866e-7
2024/10/28 02:56:05.136,-0.00029999999999996696,N/A
2024/10/28 02:56:05.461,N/A,1.0344744182498916e-7
2024/10/28 02:56:06.136,-0.0032999999999999696,N/A
2024/10/28 02:56:06.461,N/A,1.0195463697384284e-7
2024/10/28 02:56:07.136,0.0018000000000000238,N/A
2024/10/28 02:56:07.461,N/A,1.0044268393603827e-7
2024/10/28 02:56:08.136,-0.00029999999999996696,N/A
2024/10/28 02:56:08.461,N/A,9.929195275954203e-8
2024/10/28 02:56:09.136,-0.0042999999999999705,N/A
2024/10/28 02:56:09.461,N/A,9.819460352966424e-8
2024/10/28 02:56:10.136,0.0038000000000000256,N/A
2024/10/28 02:56:10.461,N/A,9.701732643765638e-8
2024/10/28 02:56:11.136,-0.007299999999999973,N/A
2024/10/28 02:56:11.462,N/A,9.6342958383437e-8
2024/10/28 02:56:12.136,0.0028000000000000247,N/A
2024/10/28 02:56:12.461,N/A,9.574564939511646e-8
2024/10/28 02:56:13.136,-0.0032999999999999696,N/A
2024/10/28 02:56:13.461,N/A,9.466138437253702e-8
2024/10/28 02:56:14.136,-0.0013000000000000789,N/A
2024/10/28 02:56:14.461,N/A,9.414296130859254e-8
2024/10/28 02:56:15.136,-0.005299999999999971,N/A
2024/10/28 02:56:15.461,N/A,9.36971739125791e-8
2024/10/28 02:56:16.136,-0.0022999999999999687,N/A
2024/10/28 02:56:16.461,N/A,9.30708524536081e-8
2024/10/28 02:56:17.136,-0.0042999999999999705,N/A
2024/10/28 02:56:17.461,N/A,9.247803489680738e-8
2024/10/28 02:56:18.136,-0.007299999999999973,N/A
2024/10/28 02:56:18.461,N/A,9.167656785956394e-8
2024/10/28 02:56:19.136,-0.005299999999999971,N/A
2024/10/28 02:56:19.461,N/A,9.095227941325264e-8
2024/10/28 02:56:20.136,0.0007000000000000339,N/A
2024/10/28 02:56:20.461,N/A,9.026729809937017e-8
2024/10/28 02:56:21.136,-0.00029999999999996696,N/A
2024/10/28 02:56:21.462,N/A,8.963924303416213e-8
2024/10/28 02:56:22.136,0.007800000000000029,N/A
2024/10/28 02:56:22.461,N/A,8.908129278673271e-8
2024/10/28 02:56:23.136,0.0018000000000000238,N/A
2024/10/28 02:56:23.461,N/A,8.836322017117548e-8
2024/10/28 02:56:24.136,-0.007299999999999973,N/A
2024/10/28 02:56:24.461,N/A,8.760479265290673e-8
